English,Danish,Dutch,Finnish,French,German,Indonesian,Italian,Japanese,Latin,Norwegian,Portuguese,Spanish,Swahili,Swedish
measure,mål,meten,mitata,mesurent,messen,-,proporzione,shisaku,-,mål,medida,tacto,cheo,mått
meat,kød,vlees,liha,viande,fleisch,daging,carne,niku,-,kjøtt,carne,carne,nyama,kött
medicine,-,medicijn,lääke,médicament,medizin,obat,medicina,igaku,-,medisin,medicina,medicina,dawa,medicin
milk,mælk,melk,lypsää,trayez,milch,susu,latte,miruku,-,melk,leite,leche,maziwa,mjölka
minute,minut,minuut,minuutti,minute,minute,-,minuto,seichi,-,minutt,minuto,minuto,dakika,minut
mirror,spejl,afspiegelen,peili,miroiter,spiegel,-,specchio,mira-,-,speil,espelho,espejo,kioo,spegel
miserable,dårlig,jammerlijk,-,malchanceux,elend,-,afflitto,nasakenai,malus,dårlig,miserável,desastrado,a huzuni,ömklig
mist,tåge,damp,sumu,brouillard,nebel,-,nebbia,kiri,caligo,tåke,neblina,niebla,-,imma
mistake,fejl,vergissing,virhe,trompons,verwechseln,salah,errore,gobyuu,error,feil,erro,equivocación,kosa,fel
mix,blande,temperen,sekoittaa,mêler,mischen,mencampuri,mischiare,gotta,-,blande,mistura,combinar,-,blanda
monday,mandag,maandag,maanantai,lundi,montag,senin,lunedí,getsuyou,-,mandag,segunda-feira,lunes,jumatatu,måndag
money,penge,poen,raha,monnaie,geld,duit,denaro,kane,æs,penger,dinheiro,pecunia,fedha,pengar
monkey,abe,aap,apina,singe,affe {m},kera,scimmia,yamazaru,cercops,-,macaco,mono,tumbili,apa
month,måned,maand,kuukausi,mois,monat,-,mese,tsuki,mensis,måned,mês,mes,mwezi,månad
moon,måne,maan,kuu,lune,mond,-,luna,getsuei,luna,måne,lua,luna,mwezi,måne
mother,mor,ouder,-,maternel,mutter,-,madre,hahaoya,mater,mor,mãe,madre,mama,mamma
mountain,bjerg,berg,vuori,montagne,gebirge,gunung,montagna,yama,mons,fjell,serra,montaña,mlima,berg
mouse,mus,muis,hiiri,souris,maus,tikus,topo,nezumi,mus,mus,rato,raton,panya mdogo,råtta
mouth,mund,bek,suu,bouche,mündung,mulut,boca,kuchisaki,bucca,munn,boca,boca,-,mynning
mud,dynd,slik,loka,boue,schlamm,lumpur,fango,deido,cænum,-,lama,mud,-,slam
mushroom,svamp,champignon,sieni,champignon de couche,champignon,-,fungo,masshuru-mu,boletus,sopp,cogumelo,seta,-,svamp
nail,negl,spijkeren,kynsi,clou,nagel,kuku,chiodo,kugi,clavus,negl,unha,uña,-,spika
name,navn,benaming,nimi,qualifier,name,-,reputazione,shougou,nomen,navn,nome,denominar,jina,banämning
narrow,smal,smal,-,pressé,schmal,sempit,venni,semai,angustus,trang,-,angosto,embamba,snäv
nasty,snavset,afschuwelijk,inhottava,vilain,garstig,jelek,spaventoso,tanrakuteki,malus,dårlig,sujo,sucio,baya,otäck
nation,folk,natie,kansa,peuple,volk,bangsa,nazione,tami,populus,-,nação,nacion,watu,nation
nature,natur,karakter,-,nature,natur,alam,indole,etai,animus,natur,natureza,naturaleza,-,natur
nearly,næsten,schier,melkein,quasiment,beinahe,hampir,quasi,hakkubu,pæne,nesten,quase,casi,-,nära
necessary,nødvendig,nodig,välttämätön,necessaire,wichtig,perlu,necessario,hisshino,-,-,necessário,necesario,lazima,nödvändig
neck,hals,nek,kaula,cou,hals,leher,collo,eri,cervix,hals,garganta,cervical,-,nacke
need,behøve,nodig hebben,tarvita,indigence,bedürfnis,perlu,aver bisogno,iriyou,requirere,-,necessidade,necesitar,haja,behöva
needle,knappenål,naald,neula,aiguille,nadel,jarum,ago,hari,-,knappenål,alfinete,alfiler,sindano,nål
never,aldrig,nimmer,ei koskaan,ne jamais,niemals,-,giammai,konrinzai,nunquam,aldri,nunca,jamas,-,aldrig
new,ny,nieuw,uusi,nouveau,neu,-,novizio,arata,novus,ny,novo,nuevo,pya,ny
newspaper,avis,blad,sanomalehti,journal,zeitung,-,gazzetta,shinbun,-,tidskrift,jornal,gaceta,gazeti,tidning
next,derpå,naast,sitten,puis,nächstes,-,prossimo,tsugi,postea,bak,em seguida,próximo,-,härnäst
nice,behagelig,genoeglijk,miellyttävä,agréable,nett,-,simpatico,kekkou,bonus,god,agradável,agradable,zuri,god
night,nat,nacht,yö,nuit,nacht,-,notturno,yabun,nox,natt,noite,noche,usiku,natt
nine,ni,negen,yhdeksän,neuf,neun,sembilan,nove,kokonotsu,novem,ni,nove,nueve,kenda,nio
nineteen,nitten,negentien,yhdeksäntoista,dix neuf,neunzehn,-,diciannove,juukyuu,undeviginti,nitten,dezenove,diecinueve,kumi na kenda,nitton
no,-,neen,ei,non,nicht,tidak,no,nain,-,ikke,não,no,la,nej
north,nord,noorden,pohjoinen,nord,norden,-,bòrea,hoku,-,nord,norte,norte,kaskazini,norr
nose,næse,neus,nenä,nez,nase,hidung,fiuto,hana,nasus,nese,nariz,nariz,-,nos
note,billet,plaatsbewijs,muistiinpano,nota,notiz {f},karcis,notazione,bunsho,-,billett,bilhete,billete,-,biljett
novel,ny,nieuw,uusi,roman,neuartig,-,romanzo,meatarashii,romanus,ny,novela,novela,pya,roman
november,november,november,marraskuu,novembre,november,nopember,novembre,juuichigatsu,-,november,novembro,noviembre,novemba,november
now,nu,enfin,no,maintenant,nun,-,attualmente,mohaya,nunc,nå,pois,actualmente,sasa,nu
number,antal,aantal,numero,numéral,numerieren,-,novero,nanba-,-,nummer,número,número,hesabu,nummer
nurse,sygeplejerske,verzorgen,hoitaa,infirmière,pflegen,jururawat,allattamento,togi,-,sykepleierske,enfermeira,enfermera,mlezi,sköta
oats,havre,haver,kaura,avoine,hafer,-,avena,enbaku,avena,havre,aveia,avena,-,havre
object,ting,mikpunt,esine,objet,gegenstand,benda,traguardo,mono,-,ting,objecto,meta,kitu,objekt
october,oktober,wijnmaand,lokakuu,octobre,oktober,oktober,ottobre,juugatsu,-,oktober,outubro,octubre,oktoba,oktober
office,kontor,kantoor,virka,charge,büro,-,ufficio,ninmu,-,kontor,escritório,alcaldia,afisi,byrå
offset,afstand,afstand,etäisyys,bifurquer,abzweigen,-,compromesso,ofusetto,-,avstand,distância,bifurcarse,mwendo,telning
often,ofte,menigmaal,usein,souvent,oft,-,spesso,ouou,sæpe,-,frequentemente,a menudo,mara nyingi,ofta
oil,olie,olie,öljy,huile,öl,minyak,oleato,sekiyu,-,olje,óleo,aceite,mafuta,smörja
one,et,men,yksi,une,eins,satu,uno,ichi,unus,en,um,uno,moja,man
onion,løg,ajuin,sipuli,oignon,zwiebel,bawang,cipolla,onion,cæpa,løk,cebola,cebolla,kitunguu,lök
only,alene,pas,yksin,seul,einzig,sendiri,singolo,bakari,solum,alene,somente,singular,tu,blott
outside,ydre,buiten,ulkopuolella,dehors,außerhalb,-,al di fuori,uwabe,extra,utenfor,fora,afuera,nje,yttersida
pail,spand,emmer,ämpäri,seau,eimer,ember,secchio,baketsu,situla,-,balde,cubo,-,hink
palace,-,paleis,-,palais,palast,mahligai,palazzo,kyuuden,aula,slott,palácio,palacio,jumba,slott
pale,bleg,verbleekt,kalpea,pâle,blaß,pucat,pallido,aoi,-,blek,pálido,pálido,-,blek
pants,bukser,lange broek,housut,pantalon,hose,celana,mutande,-,bracæ,benklær,calças,pantalón,-,kalsonger
paper,papir,bescheid,paperi,document,schriftstück,-,documento,kami,biblus,papir,papel,ponencia,karatasi,papper
parsley,persille,peterselie,persilja,persil,petersilie,-,prezzemolo,paseri,petroselinum,persille,salsa,perejil,-,persilja
part,rolle,deel,osa,contingent,teil,-,sezione,ichibu,pars,del,parte,parte,kipande,skilja
path,sti,pad,polku,sentier,zweig,-,viale,keiro,-,sti,caminho,sendero,njia,väg
paw,pote,poot,jalka,patte,pfote,-,zampa,-,pes,ben,pé,pata,mguu,tass
pay,betale,storten,maksaa,payent,bezahle,bayar ... membayar,stipendio,kouchin,-,betale,pagamento,pagar,-,betala
peace,fred,vrede,rauha,paix,stück,damai,pesca,kyuui,pax,fred,paz,paz,-,frid
pencil,blyant,potlood,lyijykynä,crayon,bleistift,-,lapis,enpitsu,-,blyant,lápis,lápiz,kalamu,pensel
people,folk,lieden,kansa,peuple,volk,-,volgo,minshuu,populus,folk,povo,gente,watu,man
pepper,peber,peperen,pippuri,poivre,pfeffer,merica,pepe,peppa-,-,pepper,pimenta,pimienta,-,peppar
perform,gøre,opdraven,tulla näkyviin,construire,funktionieren,masuk,spingere,-,apparere,gjøre,aparecer,exportar,-,uppfylla
perhaps,måske,mogelijkerwijs,-,peut-être,etwa,boleh jadi,forse,moshikasuruto,fortasse,kanskje,acaso,quizá,labda,kanske
peril,fare,onraad,vaara,danger,risiko,bahaya,pericolo,kichi,periculum,fare,perigo,peligro,hatari,våda
picture,figur,beeld,kuva,figure,abbildung,lukisan,dipinto,jinbutsuzou,-,bilde,retrato,grabado,-,porträtt
piece,del,fragment,pala,fragment,bruchstück,-,porzione,pi-su,pars,del,parte,parte,sehemu,stycke
pig,svin,zwijn,sika,cochon,schwein,babi,maiale,buta,porcus,svin,porco,chancho,nguruwe,gris
pigeon,due,duif,kyyhkynen,sourde,taube,-,colomba,hato,columba,due,pombo,paloma,-,duva
pipe,rør,pijp,piippu,pipe,röhre,pipa,fischietto,kuda,-,rør,cachimbo,pipa,kiko,avloppsrör
place,plads,plaats,panna,astro,platz,-,mettere,ichi,-,plass,meter,sentar,mahali,plats
plain,tydelig,vlakte,selvä,unie,ebene,nyata,pianura,taira,campus,klar,planície,llanura,-,simpel
plan,plan,strekking,suunnitella,planifier,plan,maksud,progetto,tsumori,-,bykart,planta,propósito,shauri,plan
plane,høvl,vliegtuig,lentokone,projet,hobel,pesawat terbang,aeroplano,rajikon,-,fly,plano,avión,shauri,plan
please,behage,alsjeblieft,miellyttää,plaisent,bitte,-,favore,nanitozo,delectare,vær så god,por favor,por favor,tafadhali,behaga
pocket,lomme,zak,tasku,empochez,fach,saku,tasca,pojetto,-,lomme,algibeira,casilla,-,ficka
pole,polak,pool,puolalainen,pôle,pfahl,-,polacco,bou,-,stang,pólo,bache,mti,påle
poor,dårlig,erbarmelijk,kurja,pauvre,arm,-,umile,hosoboso,malus,stakkars,mau,pobre,hafifu,torftig
pork,svinekød,varkensvlees,sianliha,porc,schweinefleisch,daging babi,-,butaniku,porcina,svinekjøtt,carne de porco,carne de cerdo,-,griskött
port,havn,haven,satama,connexion,port,-,porto,kaikou,portus,havn,porto,puerto,-,hamn
possibly,måske,misschien,-,peut-être,möglicherweise,mungkin,forse,hyotto,fortasse,kanskje,acaso,quizás,labda,möjligen
post,embede,aanplakken,virka,fonction,post,-,palo,hari,-,post,borne,empleo,mti,stolpe
potato,kartoffel,pieper,peruna,pomme-de-terre,kartoffel,kentang,patata,poteto,-,potet,batata,patata,kiazi,potatis
present,nærværende,tegenwoordig,esittää,présenter,präsent,pemberian,presenza,okurimono,-,presang,apresentar,regalo,-,presens
price,pris,prijs,hinta,tarifaire,bereits,-,tariffa,neuchi,pretium,pris,preço,precio,-,pris
profit,profitere,verdienste,hyötyä,bénéficient,nutzen,-,guadagno,rijun,-,gagn,lucro,ganancia,faida,förtjänst
property,bondegård,landgoed,laatu,bien,eigentum,-,possesso,zaisan,villa,gård,fazenda,tenencia,-,gods
punish,straffe,bestraffen,rangaista,punissent,bestrafe,menghukum,castigare,batsu,punire,-,puna,penar,-,straffa
pure,ren,zindelijk,puhdas,pur,rein,bersih,pulito,junsei,purus,ren,puro,puro,safi,ren
purpose,hensigt,doelwit,päämäärä,dgssein,absicht,maksud,scopo,mokuteki,-,mål,alvo,finalidad,-,avsikt
quick,hurtig,snel,nopea,nerveux,schnellsortieren,jepat,agile,hakabakashii,-,-,rapidamente,presto,epesi,kvick
rabbit,kanin,konijn,kani,lapin,kaninchen,-,lepre,usagi,cuniculus,kanin,coelho,conejo,kisungura,kanin
rain,regn,regenen,sade,pleuvoir,regnen,hujan,pioggia,ame,pluere,regn,chover,lluvia,mvua,regn
rank,-,graad,rivi,rangée,stufe,baris,gradino,joretsu,vicis,-,fila,rango,cheo,rang
rapid,hurtig,gezwind,nopea,torrentueux,schnell,lekas,rapido,hakabakashii,-,hurtig,rápido,rápido,epesi,snabb
rat,rotte,rot,rotta,rat,ratte,-,ratto,nezumi,-,rotte,rato,rata,panya,råtta
rate,vurdere,proportie,arvioida,taxer,bewerten,derajat,ritmo,bu,appretiare,-,orçar,cadencia,cheo,taxera
rather,nok,een klein beetje,han,certes,eher,agak,preferire,isso,-,-,bastante,propiamente,katikati,hellre
ready,færdig,klaar,valmis,prêt,fertig,siap,essere disposto,dekiagari,-,-,pronto,preparado,tayari,färdig
reason,fornuft,reden,järki,raison,verstand,sebab,ragione,gen'yuu,-,-,razão,cordura,sababu,förnuft
receive,modtage,aanvaarden,saada,phagocyter,retten,menerima,fagocitare,reshi-bu,accipere,godta,receba,recibir,pokea,erhålla
red,rød,rood,punainen,rouge,rot,-,vermiglio,niiro,russus,rød,vermelho,tinto,ekundu,röd
register,anbefale,aangeven,suositella,recommander,registrieren,anjur ... menganjurkan,registrare,rejisuta-,-,innskrive,registar,expedir,-,inregistrera
repeat,gentage,herhalen,toistaa,répétez,wiederholung,mengulangi,ripetere,ripi-to,-,gjenta,repetir,repetir,-,repetera
reply,svar,antwoorden,vastata,répondre,antwort,-,risposta,touben,responsum,svare,responder,contestacion,jibu,svar
rest,rest,rest,levätä,reposent,stütze,aso ... mengaso,giacere,amari,requiescere,hvile,descanso,descansar,-,ro
rice,ris,rijst,riisi,riz,reis,beras,riso,raisu,oryza,ris,arroz,arroz,mpunga,ris
right,ret,rechter-,oikeanpuolinen,droit,rechts,betul,esatto,zen,dexter,riktig,direita,recto,a kuume,riklig
ring,ringe,wal,rengas,cerne,klang,-,circolo,enjin,anulus,ring,anel,anillo,-,ring
river,flod,rivier,joki,fleuve,fluß,-,fiume,ookawa,flumen,elv,rio,flujo,mto,å
road,vej,weg,tie,chemin,landstraße,-,contrada,ro-do,via,vei,estrada,rua,barbara,väg
rock,klippe,balanceren,tuutia,bercer,fels,-,dondolare,yurasu,petra,stein,rocha,pe a,-,vagga
roof,tag,kap,katto,toit,dach,atap,tetto,yane,-,tak,telhado,techado,-,tak
room,rum,bestek,huone,chambre,gelaß,kamar,camera,yutori,-,værelse,quarto,habitación,chumba,rum
root,rod,aanslaan,-,enraciner,wurzel,akar,radice,tsukene,radix,rot,raiz,raiz,mzizi,rot
rope,reb,lijntje,köysi,funiculaire,seil,tali,gòmena,sakujou,ceruchus,tau,corda,cuerda,uzi,lina
round,om,ronde,ympärillä,cyclo,runde,-,rotondo,marui,circa,reip,redondo,rotundo,-,om
route,vej,reisplan,tie,parcours,senden,-,direzione,toorimichi,via,vei,estrada,trayecto,njia,-
row,ro,roeien,rivi,tintamarre,rudern,baris,canottaggio,ikkou,vicis,-,fila,ringla,-,rad
run,flugt,aanrijden,toimia,courent,programmstart,-,esercitare,ran,currere,løpe,funcionamento,transcurso,-,löpning
sack,afskedige,ontzetten,säkki,ficher,plündern,sak,licenziare,hyou,coleus,sekk,-,bolso,mfuko,påse
safety,sikkerhed,veiligheid,-,sécurité,sicherheit,keamanan,sicurezza,anpi,salus,sikkerhet,segurança,seguridad,-,säkerhet
salary,gage,loon,palkka,appointements,gehalt,salaris,stipendio,sarari-,æs,-,salário,sueldo,mshahara,lön
salt,salt,zouten,suola,sel,salz,garam,sale,shio,-,salt,sal,-,chumvi,salt
sand,sand,zand,hiekka,sableuxse,sand,pasir,sabbia,sabure,arena,sand,areia,-,-,sand
school,skole,leerschool,koulu,école,schule,-,scuola,bunka,-,skole,escola,escuela,shule,skola
scream,skrige,gil,huutaa,jacasser,schreien,-,gridare,sakebigoe,boare,skrike,grito,clamar,-,skrika
sea,hav,zee,meri,mer,meer,-,navale,watatsumi,æquor,hav,mar,mar,bahari,hav
second,anden,tweede,sekunti,second,zweiten,-,secondo,niban,secundus,andre,em segundo,segundo,a pili,sekund
security,sikkerhed,pand,-,sûreté,sicherheit,keamanan,sicurezza,hoshou,salus,sikkerhet,segurança,seguridad,-,hypotek
see,træffe,ontmoeten,huolehtia,voyez,sehen,kunjungi,vedere,-,videre,se,ver,visitar,-,inse
send,sende,doen toekomen,lähettää,envoyons,abschicken,kirim,mando,sendo,mittere,sende,enviar,envie,-,skicka
sentence,sætning,frase,lause,condamner,empfindungsvermögen,kalimat,punizione,kei,condemnare,-,sentença,punicion,-,sats
separate,særskilt,afgezonderd,eri,particulier,scheiden,khusus,separato,katsu,abiungere,-,separado,arredrar,-,åtskild
september,september,september,syyskuu,septembre,september,september,settembre,kugatsu,-,september,setembro,septiembre,septemba,september
serious,vigtig,belangrijk,tärkeä,grave,ernst,penting,pesante,omoomoshii,-,-,sério,grave,kubwa,rejäl
serpent,slange,slang,-,serpent,schlange,-,serpente,hebi,anguis,orm,serpente,serpiente,nyoka,orm
servant,knægt,dienstmeisje,-,serviteur,diener,babu,domèstica,kerai,anculus,hushjelp,criada,criada,mtumishi,tjänare
seven,syv,zeven,seitsemän,sept,sieben,tujuh,sette,sebun,septem,sju,sete,siete,saba,sju
seventeen,sytten,zeventien,seitsemäntoista,dix-sept,siebzehn,-,diciassette,juunana,septendecim,sytten,dezessete,diecisiete,kumi na saba,sjuttonde
seventy,halvfjers,zeventig,seitsemänkymmentä,septante,siebzig,-,settanta,shichijuu,septuaginta,sytti,setenta,setenta,sabini,sjutio
sex,køn,sexe,sukupuoli,sexe,geschlecht,-,sesso,sei,sexus,kjønn,sexo,sexo,-,kön
shack,lade,schuur,mökki,hutte,hütte,-,capanna,karigoya,casa,hytte,cabana,choza,kibanda,-
shadow,skygge,schaduwen,varjo,ombre,schatten,-,ombrosità,kumori,umbra,skygge,sombra,sombra,-,skugga
share,aktie,actie,jakaa,partageons,anteil,bagian,partecipazione,shea,pars,del,dividir,ración,sehemu,lott
sharp,skarp,bijtend,terävä,acéré,schaftem,-,nitido,surudoi,acutus,-,afiado,aprisa,kali,skärva
sheep,får,schaap,pässi,gobeur,schafe,domba,pecora,muton,ovis,får,ovelha,oveja,kondoo,får
sheet,blad,blad,lehti,feuille,bettuch,-,lenzuolo,shikifu,folium,laken,folha,sábana,jani,lakan
shop,butik,winkel,myymälä,magasin,laden,toko,impresa,shouho,-,forretning,loja,tienda,duka,bod
shore,bred,kust,ranta,riverain,küste,-,sponda,rikujou,acta,-,margem,orilla,pwani,strand
short,kort,kort,-,court,kurz,pendek,breve,chikai,brevis,kort,curto,corto,fupi,kortvarig
shoulder,skulder,schouder,hartia,épaule,schulter,bahu,spalla,kata,-,skulder,ombro,hombro,-,axel
sign,underskrive,voorbode,merkki,signent,vorzeichen,tanda,affisso,aizu,-,skilt,sinal,signo,-,vink
silver,sølv,zilveren,hopea,argent,silber,-,argènteo,shippou,argentum,sølv,prata,plata,fedha,silver
since,til,sinds,koska,car,seit,-,da,irai,ab,fordi,desde,desde,kwa sababu,eftersom
sing,synge,zingen,laulaa,chanter,singen,nyanyi,cantare,saezuru,canere,synge,cante,cantar,-,sjunga
sister,søster,zuster,-,soeur,schwester,-,sorella,shisuta-,soror,søster,irmã,hermana,dada,syster
six,seks,zes,kuusi,zéro,sechs,enam,sei,muttsu,sex,seks,seis,seis,sita,sex
sixteen,sejsten,zestien,kuusitoista,seize,sechzehn,-,sedici,juuroku,sedecim,seksten,dazasseis,dieciséis,kumi na sita,sexton
sixth,sjette,zesde,kuudes,sixième,sechste,-,sesto,-,sextus,sjette,sexto,sexto,a sita,sjätte
sixty,tres,zestig,kuusikymmentä,soixante,sechzig,-,sessanta,-,sexaginta,seksti,sessenta,sesenta,sitini,sextio
skin,skind,dierevel,iho,peau,haut,kulit,epidèrmide,sukin,cutis,hud,pele,piel,-,skinn
sleep,søvn,slapen,-,pioncer,schlaf,-,dormire,nemuri,somnus,sove,dormir,dormitar,usingizi,sova
slender,slank,sprietig,-,fluet,schmächtig,tipis,esile,surenda-,-,tynn,delgado,esbelto,embamba,smärt
slow,langsom,langzaam,-,décélérent,langsam,lambat,fiacco,fukappatsu,tardus,langsom,lento,lento,-,sakta
small,lille,min,-,petit,gering,kecil,piccolo,komakai,-,liten,pequeno,parvulo,dogo,lilla
smell,lugte,stinken,haistaa,sentir,riechen,-,profumo,nioi,odor,lukte,cheiro,apestar,-,os
smoke,røg,smoken,savuta,fumons,rauch,asap,fumo,kemuri,-,røyk,fumo,fumar,moshi,ryka
smooth,flad,gelijk,sileä,plat,glätten,-,levigare,sumu-su,-,flat,liso,suave,laini,slät
snake,slange,slang,-,guivre,schlange,-,serpente,sune-ku,hydrus,orm,serpente,sierpe,nyoka,orm
snow,sne,sneeuwen,lumi,neigeux,schneien,-,nevicare,yuki,nix,sne,neve,nevar,-,snöa
so,altså,ergo,siis,tellement,so,begitu,orbene,dakara,itaque,-,tão,así,-,så
soap,sæbe,zeep,saippua,savon,seife,sabun,sapone,shabon,sapo,såpe,sabão,jabon,sabuni,tvål
soft,sød,zoet,makea,moelleux,weich,halus,placido,ubuge,lenis,bløt,macio,tierno,laini,mjuk
soldier,soldat,soldaat,-,soldat,soldat,-,soldato,senshi,miles,soldat,soldado,soldado,askari,soldat
sole,fodsål,enkel,yksin,seul,einzig,sendiri,solo,teitetsu,solus,tunge,planta,solo,-,sjötunga
some,lidt,een beetje,muutama,un peu,einige,agak,qualche,jakkan,aliquis,-,alguns,algunos,-,någon
son,søn,zoon,poika,fils,sohn,-,figlio,sochi,puer,sønn,filho,hijo,mwana,-
source,kilde,bron,kaivo,source,quell,mata-air,sorgente,dedoko,-,kilde,fonte,venera,-,ursprung
south,syd,zuidelijk,etelä,midi,süden,selatan,ostro,roppou,antarcticus,syd,sul,sur,kusini,söder
speedy,hurtig,spoedig,nopea,rapide,schnell,jepat,-,supi-di,-,hurtig,rápido,rápido,epesi,snabb
spoon,ske,pollepel,lusikka,cuiller,löffel,sendok,cucchiaio,saji,cochleare,skje,colher,cuchara,kijiko,sked
spring,springe,opborrelen,kevät,ressort,feder,melompat,piuma,shunkashuutou,ver,kilde,nascente,saltar,-,språng
square,plads,vierkant,neliö,carré,quadrat,-,quadrangolo,houkei,-,plass,adro,escuadra,mahali,torg
stand,stå,huisje,seisoa,kiosque,andauern,bangkit,stare,kadai,stare,stå,celeiro,posición,-,tåla
star,stjerne,ster,tähti,étoile,stern,-,stella,kyohaku,sidus,stjerne,estrela,estrella,-,stjärna
statue,-,beeld,patsas,statue,standbild,arca,statua,zou,statua,statue,estátua,estatua,-,staty
steal,stjæle,sluipen,varastaa,volons,stehlen,curi,sotrarre,tsu,clepsere,stjele,roube,hurtar,-,stjäla
steel,stål,staal,teräs,acier,stahl,-,acciao,hagane,adamas,stål,aço,acero,-,stål
stomach,mave,maag,-,estomac,magen,perut,ventricolo,ibukuro,stomachus,mave,estômago,estomago,tumbo,mage
stone,sten,klei-,kivi,pierre,stein,batu,sasso,ishi,-,stein,pedra,piedra,jiwe,sten
store,butik,winkel,myymälä,entreposez,aufbewahren,toko,immagazzinare,chikuseki,-,butikk,loja,almacenar,duka,varuhus
story,etage,etage,kerros,fabliau,geschichte,sejarah,farsa,iwaku,-,etasje,história,conseja,-,historia
strange,fremmed,buitenlands,vieras,étrange,fremd,asing,strano,henteko,advena,fremmed,estranho,raro,a kigeni,främmande
stream,strøm,loop,joki,courant,bach {m},-,corrente,kasui,-,å,córrego,arroyo,kijito,rinna
string,snor,koorde,jänne,corde,zeichenfolge,tampar,spago,suji,ceruchus,reip,corda,cordon,uzi,sträng
stroll,spadseretur,wandeling,olla kävelyllä,promenade,schlendern,-,passeggiare,sanpo,ambulare,spasere,dê uma volta,gandulear,-,ströva
strong,stærk,krachtig,voimakas,salement,kampfstark,kuat,poderoso,ganjou,valens,sterk,forte,fuerte,imara,stark
sugar,sukker,suiker,sokeri,sucre,zucker,gula,zucchero,shuga-,-,sukker,açúcar,azucar,sukari,socker
sum,beløb,somma,summa,somme,summe,jumlah,-,samu,summa,beløp,soma,importe,-,tal
summer,sommer,zomer,kesä,été,sommer,-,estate,kyuuka,æstas,sommer,verão,verano,-,sommar
sun,sol,zonneschijn,aurinko,soleil,son,matahari,sole,hi,stella,sol,sol,sol,jua,sol
sunday,søndag,zondag,sunnuntai,dimanche,sonntag,ahad,doménica,dontaku,-,søndag,domingo,domingo,jumapili,söndag
sweet,sød,zoet,makea,doux,süß,manis,caramella,amai,suavis,søt,doce,dulce,tamu,efterrätt
swift,hurtig,haastig,nopea,rapide,schnell,lekas,-,hayai,-,hurtig,rápido,rápido,epesi,kvick
swim,svømme,zwemmen,uida,nager,schwimmen,berenang,nuotare,-,natare,svømme,nadar,ba ar,-,simma
table,bord,tabel,taulukko,tableau,tabelle,-,elenco,teiburu,-,bord,tabela,meseta,meza,tavla
tail,hale,schaduwen,häntä,-,ende,-,coda,bibu,penis,hale,cauda,rabo,mkia,stjärt
take,modtage,accepteren,ottaa,admettre,nehmen,terima,acchiappare,teiku,capere,besette,aceitar,tardar,pokea,taga
take in,modtage,-,ottaa vastaan,agréer,hereinlegen,menerima,accogliere,hannyuu,accipere,godta,aceitar,aceptar,pokea,hysa
tall,høj,verheven,korkea,haut,groß,tinggi,grande,takai,altus,høy,alto,gran,-,storväxt
taste,smag,smaken,maku,déguster,kosten,-,costare,konomi,gustus,smak,gosto,gusto,-,smak
tax,skat,belasten,-,impot,abgabe {f},pajak,tassa,takkusu,vectigal,skatt,imposto,acensuar,-,skatt
tea,te,thee,tee,thé,tee,teh,tè,ti,-,te,chá,te,chai,te
tear,tåre,vaneenscheuren,repiä,déchirer,zerren,air-mata,crepatura,yabureme,lacrima,-,lágrima,rajar,-,slita
ten,ti,tien,kymmenen,dix,zehn,sepuluh,dieci,ten,decem,ti,dez,diez,kumi,tio
tender,sød,gunning,makea,doux,angebot,manis,dolce,yawaraka,dulcis,søt,encarregado,subasta,tamu,öm
test,forsøge,examen,koettaa,essayer,test,coba ... mencoba,prova,kousa,-,prøve,provar,carnet,-,prov
there,derhen,ginds,siellä,là,dort,-,là,asoko,ibi,der,acolá,allá,mle,dit
therefore,altså,ergo,siis,donc,deshalb,-,quindi,yotte,-,derfor,conseqüentemente,consiguientepor,kwa hiyo,därför
they,de,hen,he,on,sie [pl],-,essi,senpou,-,de,eles,ellas,wao,man
thick,tyk,dik,tiheä,dense,dicht,-,grosso,chuumitsu,-,tykk,gordo,grueso,nono,tjock
thigh,lår,bovenbeen,reisi,cuisse,schenkels,-,femorale,mata,bracchium,lår,coxa,muslo,-,lårben
thing,ting,ding,esine,truc,ding,benda,materia,kotogara,-,ting,objecto,objecto,kitu,ting
think,synes om,geloven,arvella,méditation,denken,fikir,pensare,-,cogitare,tenke,pense,razonar,-,tro
third,tredje,derde,kolmas,tierce,dritter,-,terza,sanban,tertius,tredje,terceiro,tercero,a tatu,tredje
thirteen,tretten,dertien,kolmastoista,treize,dreizehn,-,tredici,juusan,tredecim,tretten,treze,trece,kumi na -tatu,tretton
thirty,tredive,dertig,kolmekymmentä,trente,dreißig,-,trenta,sa-ti-,triginta,tredve,trinta,treinta,thelathini,trettio
thorn,torn,doorn,piikki,épine,dorns,duri,spina,toge,spina,-,espinho,espina,mwiba,tagg
thousand,tusinde,duizend,tuhat,-,tausend,-,mille,chi,mille,tusen,mil,mil,elfu,tusen
thread,tråd,draad,lanka,enfiler,faden,benang,filamento,asaito,acia,tråd,linha,hilo,-,tråd
three,tre,drie,kolme,trois,drei,tiga,tre,san,tres,tre,três,tres,tatu,tre
through,igennem,door,valmis,prêt,hindurch,siap,per mezzo di ciò,tsuujite,-,-,pronto,a través de ello,tayari,genom
throw,kaste,keilen,heittää,jetent,hebel umlegen,lempar ... melempar,tiro,suro-,-,kaste,lançar,tirada,-,slänga
